Landsat Product Identifier,Landsat Scene Identifier,Acquisition Date,Collection Category,Date L-1 Generated,WRS Path,WRS Row,Center Latitude dec,Center Longitude dec,UL Corner Lat dec,UL Corner Long dec,UR Corner Lat dec,UR Corner Long dec,LL Corner Lat dec,LL Corner Long dec,LR Corner Lat dec,LR Corner Long dec
LE07_L1TP_090084_20051216_20170112_01_T1,LE70900842005350ASN00,2005/12/16,T1,2017/01/12, 090, 084,-34.5902,149.7275,-33.6233,148.9285,-33.924,150.9878,-35.2467,148.4467,-35.5534,150.5473
LE07_L1TP_090084_20060101_20170111_01_T1,LE70900842006001ASN00,2006/01/01,T1,2017/01/11, 090, 084,-34.5975,149.7158,-33.6291,148.9164,-33.93,150.9761,-35.2534,148.434,-35.5603,150.535
LE07_L1GT_090084_20060117_20170111_01_T2,LE70900842006017ASA00,2006/01/17,T2,2017/01/11, 090, 084,-34.61397,149.80222,-33.64637,149.00201,-33.94592,151.06184,-35.27108,148.52162,-35.57675,150.62277
LT05_L1TP_090084_20060125_20161123_01_T1,LT50900842006025ASA00,2006/01/25,T1,2016/11/23, 090, 084,-34.60685,149.8181,-33.66954,149.05717,-33.95596,151.02571,-35.24664,148.5926,-35.53841,150.59743
LE07_L1TP_090084_20060202_20170110_01_T1,LE70900842006033ASN00,2006/02/02,T1,2017/01/10, 090, 084,-34.6163,149.6975,-33.6473,148.8995,-33.948,150.9584,-35.2728,148.4174,-35.5794,150.5176
LT05_L1TP_090084_20060210_20161123_01_T1,LT50900842006041ASA00,2006/02/10,T1,2016/11/23, 090, 084,-34.61245,149.8148,-33.67514,149.05383,-33.96157,151.0225,-35.25223,148.58921,-35.54402,150.59418
LE07_L1TP_090084_20060218_20170110_01_T1,LE70900842006049ASA00,2006/02/18,T1,2017/01/10, 090, 084,-34.61393,149.80063,-33.6458,149.00107,-33.94498,151.05981,-35.27135,148.52097,-35.57666,150.62106
LT05_L1TP_090084_20060226_20161123_01_T1,LT50900842006057ASA00,2006/02/26,T1,2016/11/23, 090, 084,-34.61221,149.81483,-33.6749,149.05386,-33.96133,151.02252,-35.25199,148.58924,-35.54378,150.59421
LE07_L1TP_090084_20060306_20170111_01_T1,LE70900842006065ASN00,2006/03/06,T1,2017/01/11, 090, 084,-34.634,149.7084,-33.6644,148.9098,-33.9645,150.969,-35.2899,148.4281,-35.5962,150.5287
LT05_L1GS_090084_20060314_20161123_01_T2,LT50900842006073ASA00,2006/03/14,T2,2016/11/23, 090, 084,-34.61023,149.81213,-33.67292,149.05118,-33.95935,151.01979,-35.25001,148.58657,-35.54179,150.59149
